Player,Position,Pre-VORP,RichVal
Connor McDavid,C,595.6487620807615,325.64876208076146
Auston Matthews,C,509.91762626569107,239.91762626569107
Leon Draisaitl,"C,LW",527.6685418849733,272.66854188497325
Nathan MacKinnon,C,482.9180883318831,212.9180883318831
Roman Josi,D,376.987252419115,156.987252419115
Cale Makar,D,395.18302126134904,175.18302126134904
Mikko Rantanen,"C,RW",468.900770386594,223.900770386594
Kirill Kaprizov,LW,443.16709059666744,188.16709059666744
David Pastrnak,RW,472.3266963257008,227.32669632570082
Juuse Saros,G,338.884100300172,148.884100300172
Jacob Markstrom,G,267.16946204019825,77.16946204019825
Victor Hedman,D,340.9840852538266,120.9840852538266
Alex Ovechkin,LW,389.9537519067456,134.9537519067456
Nikita Kucherov,RW,437.21483515626835,192.21483515626835
Andrei Vasilevskiy,G,348.5073008499734,158.50730084997338
Igor Shesterkin,G,312.70660901228706,122.70660901228706
Kyle Connor,LW,409.57664623995976,154.57664623995976
Matthew Tkachuk,RW,447.6521149735464,202.65211497354642
Connor Hellebuyck,G,350.8541315237669,160.8541315237669
John Carlson,D,299.50625643313805,79.50625643313805
Timo Meier,"LW,RW",357.54625223827173,112.54625223827173
Patrick Kane,RW,312.5659279990215,67.56592799902148
Mitch Marner,RW,408.7815068306599,163.7815068306599
Thatcher Demko,G,201.86427901008784,11.864279010087841
Adam Fox,D,372.60731251758216,152.60731251758216
Moritz Seider,D,259.0613402300052,39.061340230005214
Jake Oettinger,G,284.30929980409945,94.30929980409945
Sergei Bobrovsky,G,243.7357462296451,53.73574622964509
Kris Letang,D,272.0541377679865,52.054137767986504
Jonathan Huberdeau,"LW,RW",336.01471871096834,91.01471871096834
Nikolaj Ehlers,"LW,RW",331.3056701448328,86.30567014483279
Steven Stamkos,"C,LW",390.23488642845183,135.23488642845183
Frederik Andersen,G,210.53717829075325,20.537178290753246
Aleksander Barkov,C,405.9866118536428,135.98661185364278
Aaron Ekblad,D,316.8759750964949,96.87597509649493
Jordan Binnington,G,248.02685417828326,58.02685417828326
Jake Guentzel,LW,375.24456013650774,120.24456013650774
Kevin Fiala,"LW,RW",349.2166341262844,104.21663412628442
Quinn Hughes,D,291.266630300176,71.26663030017602
Johnny Gaudreau,LW,348.30563131704184,93.30563131704184
Dougie Hamilton,D,324.3302443734191,104.33024437341908
Alexandar Georgiev,G,280.93484777363636,90.93484777363636
Darcy Kuemper,G,255.99805082991793,65.99805082991793
Sidney Crosby,C,383.4800487471987,113.48004874719868
J.T. Miller,"C,LW,RW",346.2664885347088,101.2664885347088
Marc-Andre Fleury,G,263.54740777109424,73.54740777109424
Matt Murray,G,190.57428102131067,0.5742810213106679
William Nylander,"LW,RW",369.5745939278757,124.5745939278757
Filip Forsberg,LW,321.63337314714437,66.63337314714437
Ilya Sorokin,G,273.5565166401827,83.55651664018268
Morgan Rielly,D,271.03445226918853,51.034452269188535
Artemi Panarin,LW,342.66061369054825,87.66061369054825
Brent Burns,D,278.1491205582747,58.14912055827472
Tristan Jarry,G,274.12781273950986,84.12781273950986
Brady Tkachuk,LW,369.51429299471965,114.51429299471965
Evan Bouchard,D,206.71083167206777,-13.28916832793223
Elvis Merzlikins,G,177.6218399935011,-12.378160006498888
Gabriel Landeskog,"C,LW",318.2153460158643,63.21534601586433
Sebastian Aho,C,385.0837416766783,115.0837416766783
Jason Robertson,LW,414.0925392716841,159.09253927168407
Seth Jones,D,245.57982064562856,25.57982064562856
Carter Hart,G,247.6143931541075,57.61439315410749
Shea Theodore,D,284.16417337268433,64.16417337268433
Andrei Svechnikov,LW,365.0844420928021,110.08444209280208
John Gibson,G,214.498507277618,24.49850727761799
Alex Pietrangelo,D,287.06536314069444,67.06536314069444
John Tavares,C,349.11619349188805,79.11619349188805
Jack Campbell,G,204.86829407766186,14.868294077661858
Rasmus Dahlin,D,380.8101204047471,160.81012040474712
Noah Dobson,D,293.13542995939986,73.13542995939986
Alex DeBrincat,LW,362.2825882028892,107.2825882028892
Zach Werenski,D,246.33697342984033,26.336973429840327
Thomas Chabot,D,246.67594559757046,26.67594559757046
Patrice Bergeron,C,338.9402996130365,68.94029961303647
Jack Eichel,C,358.9782093046278,88.9782093046278
Chris Kreider,"LW,RW",325.8365380344301,80.83653803443008
Mika Zibanejad,C,400.81104015455924,130.81104015455924
Elias Lindholm,C,345.97513555820836,75.97513555820836
Miro Heiskanen,D,271.9336900027392,51.93369000273918
Darnell Nurse,D,286.753642173979,66.75364217397902
Matt Boldy,"LW,RW",315.29173183146514,70.29173183146514
Mark Scheifele,C,330.61769668428633,60.61769668428633
Devon Toews,D,277.63979027741703,57.639790277417035
Brayden Point,C,349.7677014569232,79.76770145692319
Roope Hintz,C,337.4769493355768,67.47694933557682
Joe Pavelski,"C,RW",333.74113384504716,88.74113384504716
Matt Duchene,RW,277.61113593839804,32.611135938398036
Bryan Rust,RW,265.38572665833476,20.38572665833476
Tim Stutzle,"C,LW",338.2940047220091,83.2940047220091
Vladimir Tarasenko,RW,281.0318299638214,36.031829963821394
Torey Krug,D,207.10603591575776,-12.893964084242242
Jeremy Swayman,G,171.18675281957186,-18.813247180428135
Jake Allen,G,182.6192895964472,-7.380710403552797
Jonathan Marchessault,"LW,RW",308.68733688779577,63.687336887795766
Jakob Chychrun,D,292.58310360029765,72.58310360029765
Josh Morrissey,D,285.39997797807854,65.39997797807854
Cole Caufield,"LW,RW",298.7378611580319,53.737861158031876
Evander Kane,LW,342.77483500582724,87.77483500582724
Philipp Grubauer,G,184.390844105348,-5.609155894651991
Drew Doughty,D,255.10548205686052,35.105482056860524
Sam Reinhart,"C,RW",293.17025372670633,48.170253726706335
Nazem Kadri,C,315.70497085783455,45.70497085783455
Pavel Buchnevich,"LW,RW",325.2279341630447,80.22793416304472
Jack Hughes,"C,LW",397.93103600268796,142.93103600268796
Matty Beniers,C,288.6083110484063,18.60831104840628
David Perron,RW,295.46267520388795,50.462675203887954
John Klingberg,D,194.0504180923501,-25.9495819076499
Ville Husso,G,232.32468448321453,42.324684483214526
Rasmus Andersson,D,261.9181550121955,41.918155012195484
Owen Power,D,215.57517563900345,-4.424824360996553
Erik Karlsson,D,285.7493196528895,65.74931965288948
Cam Talbot,G,229.34872005499324,39.34872005499324
Mats Zuccarello,RW,316.7483028744458,71.74830287444581
Elias Pettersson,"C,LW",381.7872897995785,126.7872897995785
Tyler Toffoli,"LW,RW",294.7368006819978,49.736800681997806
Vince Dunn,D,236.4500956950944,16.450095695094404
Mikhail Sergachev,D,281.2048560326886,61.20485603268861
Jacob Trouba,D,240.49772976851682,20.49772976851682
Jared Spurgeon,D,235.4943918115033,15.494391811503306
Trevor Zegras,"C,LW",276.8476711723734,21.847671172373396
Jordan Kyrou,"LW,RW",301.9970530049186,56.9970530049186
Vitek Vanecek,G,243.58036291841069,53.580362918410685
Evgeny Kuznetsov,C,272.57668792663196,2.576687926631962
Lucas Raymond,RW,266.2859541703784,21.285954170378375
Patrik Laine,"LW,RW",275.6310603952615,30.6310603952615
Jonathan Quick,G,174.99473245269078,-15.005267547309217
James Reimer,G,183.4235299724406,-6.576470027559395
MacKenzie Weegar,D,244.26292626149552,24.262926261495522
Mark Stone,RW,298.34697750043904,53.34697750043904
Josh Norris,C,285.1293897373147,15.129389737314682
Evgeni Malkin,C,327.84579902131014,57.84579902131014
Justin Faulk,D,254.72922674627122,34.72922674627122
Pierre-Luc Dubois,C,320.64790849030356,50.647908490303564
Teuvo Teravainen,"LW,RW",276.6589703174098,31.658970317409796
Andre Burakovsky,"LW,RW",269.79148912334426,24.791489123344263
Tomas Hertl,C,291.808223153461,21.808223153460972
Jesper Bratt,RW,319.98341326782264,74.98341326782264
Karel Vejmelka,G,217.69197333737287,27.691973337372872
Travis Konecny,RW,333.1099322332874,88.1099322332874
Tyler Seguin,"C,RW",230.6731434188665,-14.326856581133512
Zach Hyman,"LW,RW",324.48259611514356,79.48259611514356
Brad Marchand,LW,385.93070414819385,130.93070414819385
Ivan Provorov,D,217.39393139850299,-2.6060686014970145
Tony DeAngelo,D,252.82577796075614,32.82577796075614
Noah Hanifin,D,233.15707705843428,13.157077058434282
Tage Thompson,"C,RW",397.40750168796467,152.40750168796467
Adrian Kempe,"C,LW,RW",277.13943258658117,32.139432586581165
Shayne Gostisbehere,D,228.75546403424306,8.755464034243062
