Name,Id
Connor McDavid,8478402
Johnny Gaudreau,8476346
Jonathan Huberdeau,8476456
Leon Draisaitl,8477934
Kirill Kaprizov,8478864
Auston Matthews,8479318
Steven Stamkos,8474564
Matthew Tkachuk,8479314
J.T. Miller,8476468
Mitchell Marner,8478483
Roman Josi,8474600
Artemi Panarin,8478550
Kyle Connor,8478398
Patrick Kane,8474141
Mikko Rantanen,8478420
Alex Ovechkin,8471214
Aleksander Barkov,8477493
Nathan MacKinnon,8477492
Nazem Kadri,8475172
Matt Duchene,8475168
Cale Makar,8480069
Kevin Fiala,8477942
Victor Hedman,8475167
Sidney Crosby,8471675
Filip Forsberg,8476887
Jake Guentzel,8477404
Elias Lindholm,8477496
Sam Reinhart,8477933
Vladimir Tarasenko,8475765
Sebastian Aho,8478427
Joe Pavelski,8470794
Mika Zibanejad,8476459
Brad Marchand,8473419
William Nylander,8477939
Jason Robertson,8480027
Mats Zuccarello,8475692
Alex DeBrincat,8479337
Evgeny Kuznetsov,8475744
Chris Kreider,8475184
David Pastrnak,8477956
Robert Thomas,8480023
Pavel Buchnevich,8477402
Timo Meier,8478414
John Tavares,8475166
Jordan Kyrou,8479385
Adam Fox,8479323
Jesper Bratt,8479407
Roope Hintz,8478449
John Carlson,8474590
Mark Scheifele,8476460
Nikita Kucherov,8476453
Dylan Larkin,8477946
Andrei Svechnikov,8480830
Quinn Hughes,8480800
Kris Letang,8471724
Elias Pettersson,8480012
Morgan Rielly,8476853
Tage Thompson,8479420
Anze Kopitar,8471685
Troy Terry,8478873
Brady Tkachuk,8480801
Jonathan Marchessault,8476539
Patrice Bergeron,8470638
Claude Giroux,8473512
Ryan Hartman,8477451
Teuvo Teravainen,8476882
Mikael Granlund,8475798
Tomas Hertl,8476881
Chandler Stephenson,8476905
Michael Bunting,8478047
Ryan Johansen,8475793
Clayton Keller,8479343
Jeff Skinner,8475784
Tyler Bertuzzi,8477479
Jakub Voracek,8474161
Andre Burakovsky,8477444
Taylor Hall,8447463
Nick Suzuki,8480018
Trevor Zegras,8481533
Ivan Barbashev,8477964
Pierre-Luc Dubois,8479400
Nico Hischier,8480002
Blake Wheeler,8471218
Mathew Barzal,8478445
Alex Killorn,8473986
Gabriel Landeskog,8476455
Brock Nelson,8475754
Nick Schmaltz,8477951
Anthony Duclair,8477407
Ryan O'Reilly,8475158
Brayden Point,8478010
Bryan Rust,8475810
Brayden Schenn,8475170
Tim Stuetzle,8482116
Oliver Bjorkstrand,8477416
Aaron Ekblad,8477932
David Perron,8474102
Lucas Raymond,8482078
Devon Toews,8478038
Logan Couture,8474053
Jack Hughes,8448071
Patrik Laine,8479339
Charlie McAvoy,8479325
Nikolaj Ehlers,8477940
Andrew Mangiapane,8478233
Josh Norris,8480064
Carter Verhaeghe,8477409
Brent Burns,8470613
Zach Hyman,8475786
Adrian Kempe,8477960
Ryan Strome,8476458
Andrew Copp,8477429
Rasmus Dahlin,8480839
Gustav Nyquist,8474679
Conor Garland,8478856
Bo Horvat,8477500
Phil Kessel,8473548
Travis Konecny,8478439
Valeri Nichushkin,8477501
Shea Theodore,8477447
Tom Wilson,8476880
Phillip Danault,8476479
Tony DeAngelo,8477950
Noah Dobson,8480865
Shayne Gostisbehere,8476906
Seth Jones,8477495
Alexander Kerfoot,8477021
Vincent Trocheck,8476389
Rasmus Andersson,8478397
Cam Atkinson,8474715
Jared McCann,8477955
Ryan Nugent-Hopkins,8476454
Moritz Seider,8481542
Viktor Arvidsson,8478042
Sam Bennett,8477935
Joel Eriksson Ek,8478493
Victor Olofsson,8478109
Ondrej Palat,8476292
Brandon Saad,8476438
